Model,Main_Accuracy,Control_Accuracy,Average_Accuracy,Strict_Logical_AND,Difference_Avg_Strict,Main_Questions,Control_Questions,Valid_Pairs,Correct_Pairs
llava-v1.6-mistral-7b-hf,0.3333333333333333,0.3284722222222222,0.33090277777777777,0.0,0.33090277777777777,11520,11520,11520,0
llama3-llava-next-8b-hf,0.3333333333333333,0.3284722222222222,0.33090277777777777,0.0,0.33090277777777777,11520,11520,11520,0
SmolVLM-Instruct-DPO,0.3333333333333333,0.3284722222222222,0.33090277777777777,0.0,0.33090277777777777,11520,11520,11520,0
InternVL3-1B,0.5217013888888888,0.13975694444444445,0.33072916666666663,0.0046875,0.3260416666666666,11520,11520,11520,54
InternVL3-1B-Instruct,0.5292534722222222,0.13090277777777778,0.330078125,0.0025173611111111113,0.3275607638888889,11520,11520,11520,29
InternVL-Chat-V1-1,0.23541666666666666,0.42335069444444445,0.32938368055555556,0.024479166666666666,0.3049045138888889,11520,11520,11520,282
Mantis-8B-Idefics2,0.2956597222222222,0.36302083333333335,0.32934027777777775,0.014756944444444444,0.3145833333333333,11520,11520,11520,170
llava-onevision-qwen2-0.5b-si-hf,0.190625,0.4185763888888889,0.30460069444444443,0.011024305555555556,0.2935763888888889,11520,11520,11520,127
llava-onevision-qwen2-0.5b-ov-hf,0.03697916666666667,0.5484375,0.29270833333333335,0.005381944444444444,0.2873263888888889,11520,11520,11520,62
Qwen3-VL-4B-Thinking,0.40772569444444445,0.1765625,0.29214409722222223,0.06727430555555555,0.22486979166666668,11520,11520,11520,775
Mantis-8B-clip-llama3,0.18645833333333334,0.3971354166666667,0.291796875,0.027864583333333335,0.26393229166666665,11520,11520,11520,321
Mantis-8B-siglip-llama3,0.1232638888888889,0.43776041666666665,0.28051215277777775,0.014670138888888889,0.26584201388888884,11520,11520,11520,169
InternVL3_5-30B-A3B,0.4753472222222222,0.08472222222222223,0.2800347222222222,0.04921875,0.2308159722222222,11520,11520,11520,567
Xinyuan-VL-2B,0.11822916666666666,0.44114583333333335,0.2796875,0.03203125,0.24765624999999997,11520,11520,11520,369
Mantis-8B-Fuyu,0.203125,0.3506944444444444,0.2769097222222222,0.0036458333333333334,0.27326388888888886,11520,11520,11520,42
InternVL-Chat-V1-2,0.1111111111111111,0.43854166666666666,0.2748263888888889,0.029340277777777778,0.2454861111111111,11520,11520,11520,338
InternVL-Chat-V1-2-Plus,0.007118055555555555,0.5152777777777777,0.26119791666666664,0.002777777777777778,0.2584201388888889,11520,11520,11520,32
Mantis-bakllava-7b,0.17100694444444445,0.34444444444444444,0.25772569444444443,0.01154513888888889,0.24618055555555554,11520,11520,11520,133
InternVL2-1B,0.030381944444444444,0.47552083333333334,0.2529513888888889,0.0033854166666666668,0.24956597222222224,11520,11520,11520,39
JanusFlow-1.3B,0.2939236111111111,0.2025173611111111,0.24822048611111108,0.017621527777777778,0.2305989583333333,11520,11520,11520,203
Janus-Pro-7B,0.28663194444444445,0.20894097222222222,0.24778645833333335,0.027430555555555555,0.22035590277777778,11520,11520,11520,316
Janus-1.3B,0.2904513888888889,0.17612847222222222,0.23328993055555555,0.006597222222222222,0.22669270833333333,11520,11520,11520,76
Janus-Pro-1B,0.1951388888888889,0.23619791666666667,0.21566840277777777,0.01423611111111111,0.20143229166666665,11520,11520,11520,164
Qwen3-VL-2B-Thinking,0.30104166666666665,0.09522569444444444,0.19813368055555555,0.025086805555555557,0.173046875,11520,11520,11520,289
